devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-23T12:27:32.247,56249.0,0089PS06CT12017-07-23T12:27:30811,7681.0,2017-07-23T12:27:30.179,24.25,inch,225.0,ms,165.55,inch,FC300008,23.6,inch,13.4,15.0,-11.0,degree/10,47436.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,537.01,ft/min,16.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:32.774,57644.0,0089PS06CT12017-07-23T12:27:30812,7682.0,2017-07-23T12:27:30.713,17.55,inch,163.0,ms,40.0,inch,FC300008,16.4,inch,17.0,9.0,866.0,degree/10,25092.0,inch3/10,0.0,inch3/10,2765.0,mm/sec,537.01,ft/min,7.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:33.791,60359.0,0089PS06CT12017-07-23T12:27:31813,7683.0,2017-07-23T12:27:31.726,20.59,inch,192.0,ms,88.54,inch,FC300008,20.4,inch,14.4,12.2,-8.0,degree/10,35839.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,8.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:35.529,64994.0,0089PS06CT12017-07-23T12:27:33814,7684.0,2017-07-23T12:27:33.475,25.47,inch,236.0,ms,163.11,inch,FC300008,25.0,inch,23.6,13.4,4.0,degree/10,79060.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,5.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:36.225,1318.0,0089PS06CT12017-07-23T12:27:34815,7685.0,2017-07-23T12:27:34.172,19.37,inch,180.0,ms,55.78,inch,FC300008,18.8,inch,18.6,13.0,-3.0,degree/10,45458.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,22.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:36.580,2263.0,0089PS06CT12017-07-23T12:27:34816,7686.0,2017-07-23T12:27:34.520,18.77,inch,174.0,ms,18.77,inch,FC300008,18.0,inch,16.2,12.4,-21.0,degree/10,36158.0,inch3/10,0.0,inch3/10,2778.0,mm/sec,537.01,ft/min,11.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:37.244,4033.0,0089PS06CT12017-07-23T12:27:35817,7687.0,2017-07-23T12:27:35.183,50.31,inch,466.0,ms,21.22,inch,FC300008,47.8,inch,16.6,6.4,-263.0,degree/10,50783.0,inch3/10,0.0,inch3/10,2775.0,mm/sec,537.01,ft/min,9.3,LB,0,0,0,1,1,0,0,0,0,0,0
0089PS06CT1,32.0,2017-07-23T12:27:37.636,5083.0,0089PS06CT12017-07-23T12:27:35818,7688.0,2017-07-23T12:27:35.582,22.4,inch,209.0,ms,20.59,inch,FC300008,16.4,inch,15.8,8.0,415.0,degree/10,20730.0,inch3/10,0.0,inch3/10,2815.0,mm/sec,537.01,ft/min,2.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:38.009,6088.0,0089PS06CT12017-07-23T12:27:35819,7689.0,2017-07-23T12:27:35.942,15.15,inch,141.0,ms,23.62,inch,FC300008,15.0,inch,6.4,6.2,-35.0,degree/10,5952.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,537.01,ft/min,0.8,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:38.505,7408.0,0089PS06CT12017-07-23T12:27:36820,7690.0,2017-07-23T12:27:36.448,32.12,inch,298.0,ms,22.4,inch,FC300008,31.4,inch,12.6,9.8,-22.0,degree/10,38773.0,inch3/10,0.0,inch3/10,2764.0,mm/sec,537.01,ft/min,0.0,LB,0,1,1,0,0,0,0,1,1,0,0
