timestamp,oga,ole,owi,ohe,oa,obv,otve,speed,owe,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,timeInterval
2017-07-23 12:28:38.676,23.03,12.2,9.4,4.6,-22.0,5275.0,2765.0,537.6,11.0,0,0,1,0,0,0,0,1,1,0.35200000000000004
2017-07-23 12:50:57.460,-1.0,52.4,28.4,3.8,-1.0,56550.0,2767.0,537.6,35.0,0,0,1,0,0,0,0,1,1,1338.784
2017-07-23 12:50:58.078,61.22,6.6,10.4,6.6,864.0,4530.0,2751.0,537.6,2.8,0,1,1,0,0,0,0,1,1,0.618
2017-07-23 12:50:58.608,40.62,14.6,20.0,12.8,891.0,37376.0,2778.0,537.6,7.7,0,0,1,0,0,0,0,1,1,0.53
2017-07-23 12:50:59.136,30.9,23.4,15.6,13.2,-27.0,48185.0,2780.0,537.6,21.0,0,0,1,0,0,0,0,1,1,0.528
2017-07-23 12:50:59.471,22.4,14.2,12.6,6.4,-21.0,11451.0,2751.0,537.6,5.4,0,0,1,0,0,0,0,1,1,0.335
2017-07-23 12:50:59.925,26.65,23.8,20.6,10.0,4.0,49028.0,2778.0,537.6,29.0,0,1,1,0,0,0,0,1,1,0.454
2017-07-23 12:51:00.412,26.06,24.0,15.0,6.4,-31.0,23040.0,2762.0,537.6,9.7,0,0,1,0,0,0,0,1,1,0.48700000000000004
2017-07-23 12:51:00.880,24.25,27.4,12.8,11.4,-18.0,39982.0,2773.0,537.6,17.1,0,1,1,0,0,0,0,1,1,0.468
2017-07-23 12:51:01.411,29.09,24.8,18.6,8.8,-11.0,40593.0,2778.0,537.6,19.8,0,0,1,0,0,0,0,1,1,0.531
2017-07-23 12:51:01.687,19.37,10.8,10.4,10.4,-124.0,11681.0,2762.0,537.6,3.6,0,0,1,0,0,0,0,1,1,0.276
2017-07-23 12:51:02.126,33.34,14.2,10.0,9.2,-25.0,13064.0,2762.0,537.6,3.6,0,1,1,0,0,0,0,1,1,0.439
2017-07-23 12:51:02.382,18.77,8.4,8.6,8.8,897.0,6357.0,2778.0,537.6,1.7,0,0,1,0,0,0,0,1,1,0.256
2017-07-23 12:51:02.741,21.22,18.6,13.4,12.8,-22.0,31903.0,2762.0,537.6,41.8,0,1,1,0,0,0,0,1,1,0.35900000000000004
2017-07-23 12:51:03.198,24.84,18.8,24.8,9.0,-815.0,41962.0,2765.0,537.6,19.7,0,0,1,0,0,0,0,1,1,0.457
2017-07-23 12:51:03.513,19.37,14.8,12.8,10.8,-7.0,20460.0,2778.0,537.6,20.1,0,0,1,0,0,0,0,1,1,0.315
2017-07-23 12:51:03.939,35.74,11.6,17.8,10.6,880.0,21887.0,2823.0,537.6,36.3,0,0,1,0,0,0,0,1,1,0.42600000000000005
2017-07-23 12:51:04.531,38.18,23.6,19.6,8.8,-12.0,40705.0,2778.0,537.6,34.9,0,0,1,0,0,0,0,1,1,0.5920000000000001
2017-07-23 12:51:05.172,41.22,27.8,12.8,11.4,2.0,40566.0,2778.0,537.6,16.1,0,0,1,0,0,0,0,1,1,0.641
2017-07-23 12:51:05.664,32.71,18.6,10.6,8.4,-156.0,16561.0,2757.0,537.6,20.7,0,0,1,0,0,0,0,1,1,0.49200000000000005
2017-07-23 12:51:06.097,27.87,11.2,16.2,2.2,-496.0,3992.0,2794.0,537.6,1.0,0,0,0,0,1,1,0,0,1,0.43300000000000005
2017-07-23 12:51:06.384,19.37,12.4,6.6,6.2,-16.0,5074.0,2754.0,537.6,6.4,0,1,1,0,0,0,0,1,1,0.28700000000000003
2017-07-23 12:51:07.513,103.7,17.8,11.6,10.4,-10.0,21474.0,2762.0,537.6,40.8,0,0,1,0,0,0,0,1,1,1.129
2017-07-23 12:51:37.137,-1.0,14.0,10.6,3.6,-44.0,5342.0,2762.0,537.6,3.3,0,1,1,0,0,0,0,1,1,29.624000000000002
